"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","com.google.code.gson:gson","2.8.9","Apache-2.0","","https://mvnrepository.com/artifact/com.google.code.gson/gson"
"java","commons-cli:commons-cli","1.3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-cli/commons-cli"
"java","commons-codec:commons-codec","1.11","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-discovery:commons-discovery","0.5","Apache-2.0","","https://mvnrepository.com/artifact/commons-discovery/commons-discovery"
"java","commons-logging:commons-logging","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","dom4j:dom4j","1.6.1","BSD","","https://mvnrepository.com/artifact/dom4j/dom4j"
"java","it.csi.cpass:cpassrepeng-ear","2.0.0","","",""
"java","javax:javaee-web-api","8.0.1","CDDL-1.1","Copyright (c) 20102017 Oracle and/or its affiliates. All rights reserved.","https://mvnrepository.com/artifact/javax/javaee-web-api"
"java","org.apache.axis:axis","1.4","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.axis/axis"
"java","org.apache.logging.log4j:log4j-api","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-api"
"java","org.apache.logging.log4j:log4j-to-slf4j","2.17.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-to-slf4j"
"java","org.apache.poi:poi","3.9","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi"
"java","org.apache.poi:poi-ooxml","3.9","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-ooxml"
"java","org.apache.poi:poi-ooxml-schemas","3.9","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.poi/poi-ooxml-schemas"
"java","org.apache.xmlbeans:xmlbeans","2.3.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.xmlbeans/xmlbeans"
